Gene stable ID	Transcript stable ID	MGI symbol	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSMUSG00000071456	ENSMUST00000168012	1110002L01Rik	12	3403878	3427011
ENSMUSG00000071456	ENSMUST00000095903	1110002L01Rik	12	3403878	3427011
ENSMUSG00000071456	ENSMUST00000179637	1110002L01Rik	12	3403878	3427011
ENSMUSG00000071456	ENSMUST00000180149	1110002L01Rik	12	3403878	3427011
ENSMUSG00000084859	ENSMUST00000141488	1700080N15Rik	2	4132063	4141141
ENSMUSG00000084859	ENSMUST00000155091	1700080N15Rik	2	4132063	4141141
ENSMUSG00000084859	ENSMUST00000154360	1700080N15Rik	2	4132063	4141141
ENSMUSG00000086155	ENSMUST00000154825	9430041J12Rik	7	4074125	4120728
ENSMUSG00000086155	ENSMUST00000132560	9430041J12Rik	7	4074125	4120728
ENSMUSG00000086155	ENSMUST00000149343	9430041J12Rik	7	4074125	4120728
ENSMUSG00000086155	ENSMUST00000050989	9430041J12Rik	7	4074125	4120728
ENSMUSG00000085886	ENSMUST00000148318	D030047H15Rik	7	4126340	4136926
ENSMUSG00000086006	ENSMUST00000131188	Gm13293	2	11339488	11344111
ENSMUSG00000037735	ENSMUST00000037953	2810032G03Rik	12	5375870	5416631
ENSMUSG00000037735	ENSMUST00000163627	2810032G03Rik	12	5375870	5416631
ENSMUSG00000098234	ENSMUST00000182580	Snhg6	1	9941959	9944118
ENSMUSG00000098234	ENSMUST00000182819	Snhg6	1	9941959	9944118
ENSMUSG00000098234	ENSMUST00000182043	Snhg6	1	9941959	9944118
ENSMUSG00000098234	ENSMUST00000182498	Snhg6	1	9941959	9944118
ENSMUSG00000098234	ENSMUST00000182742	Snhg6	1	9941959	9944118
ENSMUSG00000108043	ENSMUST00000203365	Zim3	7	6955685	6977420
ENSMUSG00000108043	ENSMUST00000204486	Zim3	7	6955685	6977420
ENSMUSG00000108043	ENSMUST00000203351	Zim3	7	6955685	6977420
ENSMUSG00000086843	ENSMUST00000148089	E030013I19Rik	2	12300946	12312315
ENSMUSG00000086843	ENSMUST00000150037	E030013I19Rik	2	12300946	12312315
ENSMUSG00000056332	ENSMUST00000070382	Gm16294	15	40511322	40527277
ENSMUSG00000072592	ENSMUST00000100683	Gm10373	15	43430943	43477036
ENSMUSG00000097626	ENSMUST00000180594	4921504A21Rik	5	19202368	19226555
ENSMUSG00000097626	ENSMUST00000197496	4921504A21Rik	5	19202368	19226555
ENSMUSG00000073147	ENSMUST00000185943	5031425E22Rik	5	23382308	23434269
ENSMUSG00000073147	ENSMUST00000188328	5031425E22Rik	5	23382308	23434269
ENSMUSG00000073147	ENSMUST00000191186	5031425E22Rik	5	23382308	23434269
ENSMUSG00000073147	ENSMUST00000189045	5031425E22Rik	5	23382308	23434269
ENSMUSG00000073147	ENSMUST00000101522	5031425E22Rik	5	23382308	23434269
ENSMUSG00000097726	ENSMUST00000180878	9530036O11Rik	5	28458274	28933995
ENSMUSG00000097726	ENSMUST00000181202	9530036O11Rik	5	28458274	28933995
ENSMUSG00000040705	ENSMUST00000208685	A930016O22Rik	7	19417466	19421417
ENSMUSG00000040705	ENSMUST00000047020	A930016O22Rik	7	19417466	19421417
ENSMUSG00000097934	ENSMUST00000181654	6720483E21Rik	1	20888650	20890473
ENSMUSG00000073164	ENSMUST00000149246	2410018L13Rik	12	22953997	23010284
ENSMUSG00000073164	ENSMUST00000135421	2410018L13Rik	12	22953997	23010284
ENSMUSG00000073164	ENSMUST00000127001	2410018L13Rik	12	22953997	23010284
ENSMUSG00000073164	ENSMUST00000141777	2410018L13Rik	12	22953997	23010284
ENSMUSG00000073164	ENSMUST00000130361	2410018L13Rik	12	22953997	23010284
ENSMUSG00000097207	ENSMUST00000195898	6030443J06Rik	5	22550432	22807850
ENSMUSG00000097207	ENSMUST00000181764	6030443J06Rik	5	22550432	22807850
ENSMUSG00000097207	ENSMUST00000181374	6030443J06Rik	5	22550432	22807850
ENSMUSG00000097207	ENSMUST00000181209	6030443J06Rik	5	22550432	22807850
ENSMUSG00000097207	ENSMUST00000199660	6030443J06Rik	5	22550432	22807850
ENSMUSG00000104861	ENSMUST00000127041	3110039M20Rik	12	49389652	49407360
ENSMUSG00000104861	ENSMUST00000145291	3110039M20Rik	12	49389652	49407360
ENSMUSG00000101856	ENSMUST00000188465	1700096K18Rik	5	25530013	25531466
ENSMUSG00000101013	ENSMUST00000190567	A630072M18Rik	5	20950989	20956398
ENSMUSG00000086892	ENSMUST00000152726	4933430M04Rik	11	24481909	24569952
ENSMUSG00000094002	ENSMUST00000182473	Gm9866	12	27140796	27160633
ENSMUSG00000094002	ENSMUST00000182592	Gm9866	12	27140796	27160633
ENSMUSG00000094002	ENSMUST00000183238	Gm9866	12	27140796	27160633
ENSMUSG00000094002	ENSMUST00000177636	Gm9866	12	27140796	27160633
ENSMUSG00000075514	ENSMUST00000126967	Gm13375	2	20969054	20969997
ENSMUSG00000096937	ENSMUST00000180537	Gm10825	10	22402883	22407470
ENSMUSG00000097180	ENSMUST00000181574	2700038G22Rik	5	23850597	23855038
ENSMUSG00000097180	ENSMUST00000197551	2700038G22Rik	5	23850597	23855038
ENSMUSG00000097039	ENSMUST00000182956	Pvt1	15	62037986	62378096
ENSMUSG00000097039	ENSMUST00000182075	Pvt1	15	62037986	62378096
